country,happiness,mortality_under5_per_1k,log_gdp_per_capita,gini_percent,education_expected,taxes_percent_gdp,co2_per_capita
Switzerland,7.5677845956,4.2,4.737967213507644,32.35,15.790429999999999,9.759124063,4.625229924
Syria,4.016979592285714,14.6,3.5273154337049815,35.78,12.27013,14.194682792,2.625979411
Tajikistan,4.6810638429,47.7,3.3859026845681233,30.77,11.24404,15.559569189000001,0.35614925399999997
Tanzania,3.8338542936000004,51.8,3.2350529405089143,37.82,9.1705,16.051656455,0.157503158
Thailand,6.1380238532,13.1,4.144007588805674,39.37,13.47211,16.502160844000002,4.556738121
Togo,3.1107532023999993,84.7,3.129017399675661,45.96,12.234910000000001,16.392145608,0.324076867
Trinidad and Tobago,6.3037713765,21.3,4.469370600866641,28.53333333333333,12.34507333,28.258357597,37.18763962
Tunisia,4.948116506857143,15.2,4.032120594893647,35.79,14.62357,21.037048778,2.4024556390000003
Turkey,5.2727083683,19.2,4.270914684115999,40.04,14.54396,20.377342743,4.391547759
Turkmenistan,5.798982858666666,55.2,4.132097315996105,38.66666666666666,10.80354,26.034392511666667,12.18367613
Uganda,4.241533327000001,66.1,3.136029936111318,44.55,9.768880000000001,13.006394730999999,0.10808595300000001
Ukraine,4.8537867069,10.0,3.9298282360387455,24.82,15.14135,18.231276369,6.262351962
United Arab Emirates,6.845426440375,8.2,4.756214369024132,29.00333333333333,13.33,0.355057935,19.99797997
United Kingdom,6.8649543286,4.6,4.568402497532474,38.04,16.18306,25.293225015999997,7.085732086
United States,7.1702228069,6.9,4.710459989267495,41.12,16.48,10.565895957,17.02021634
Uruguay,6.2139681818,11.1,4.277971545229287,41.32,15.50195,19.296583403,2.297642136
Uzbekistan,5.6243769857777774,42.5,3.699186791630806,35.19,11.51169,11.679632485333336,3.9149212660000003
Venezuela,6.6523856165,14.9,4.245872741348088,44.77,14.217379999999999,15.513728915,6.400457516
Vietnam,5.3281669616,23.8,3.7096602705596027,35.62,11.9,16.780546245666667,1.971889173
Yemen,4.07648390525,51.3,3.583457769826297,35.91,9.15499,14.765405937666664,0.956709703
Zambia,4.806539720888889,87.4,3.579731070780227,57.49,13.5,15.963114481,0.223509065
Zimbabwe,4.139683485,88.5,3.248785453203156,49.99333333333333,10.85084,16.761866016333332,0.7381358179999999
